Tmin,Tmax,mu_ref,T_ref,omega,collision_diam
100,145,2.66356791564047,122.5,0.716585797256489,9.15065237611066
145,190,3.35444667936833,167.5,0.735617937607545,8.89534627486397
190,235,4.0020333260487,212.5,0.761439663496591,8.74799034536988
235,280,4.65194496844887,257.5,0.801285185390636,8.67567436806935
280,325,5.29660560610508,302.5,0.801982152277933,8.46747542346339
325,370,5.91206168561915,347.5,0.782231692901763,8.21950508618791
370,415,6.49764040521352,392.5,0.772761856863544,8.04654399515894
415,460,7.06827259688158,437.5,0.782126912940294,7.96237627731567
460,505,7.6377704397755,482.5,0.802385253159436,7.92586093796784
505,550,8.21181475909748,527.5,0.822448552526808,7.89212872600074
550,595,8.78896347626506,572.5,0.835260703007467,7.83500930230179
595,640,9.36433181287628,617.5,0.839026560905653,7.74968735907353
640,685,9.93289789438391,662.5,0.835679531657997,7.64560276056955
685,730,10.4914402916056,707.5,0.828791672571368,7.53719638904465
730,775,11.0391396530015,752.5,0.821937693223046,7.43720213376237
775,820,11.5772728683129,797.5,0.81777919395629,7.35369692897942
820,865,12.1084835517758,842.5,0.817770718054846,7.28990733636539
865,910,12.6359973889136,887.5,0.822267376505371,7.24531546391955
910,955,13.162987623979,932.5,0.83081716784158,7.21703497655988
955,1000,13.6921599463831,977.5,0.842490616129321,7.20099917000231
