theta,E=0.010000,E=0.014384,E=0.020691,E=0.029764,E=0.042813,E=0.061585,E=0.088587,E=0.127427,E=0.183298,E=0.263665,E=0.379269,E=0.545559,E=0.784760,E=1.128838,E=1.623777,E=2.335721,E=3.359818,E=4.832930,E=6.951928,E=10.000000
0.001,2.07349820864991e+18,1.00210721922085e+18,4.84311428206351e+17,2.34064334626435e+17,1.13121660058727e+17,5.46709091535258e+16,2.64220690018284e+16,1.27696016244566e+16,6.17145938253512e+15,2.98262326659714e+15,1.4414810175405e+15,696657719799864,336689815995521,162719839274391,78641363164474.1,38006822204009,18368432030177.5,8877335059379.5,4290354104640.83,2073498208649.91
0.002,1.29593702837457e+17,6.2631732517163e+16,3.02694793976335e+16,1.46290282286648e+16,7.07010728872337e+15,3.41693353056177e+15,1.65138013830417e+15,798100500578703,385716404266607,186414047369325,90092608642575.9,43541129258051.6,21043124021279.9,10169995039645.9,4915087655322.94,2375427575464.1,1148027575899.76,554833718628.02,268147265613.657,129593702837.457
0.003,2.55987774483489e+16,1.23717105600594e+16,5.97916140685686e+15,2.88968699644998e+15,1.39656556651507e+15,674950395655876,326198817670126,157649612970430,76190958162392.7,36822558560878.3,17796085673044.8,8600724057747.16,4156669937229.79,2008889583140,970882321230.909,469220652837.16,226771068165.909,109596875257.224,52967405248.3613,25598777448.3489
0.004,8.09962262657284e+15,3.91449111129838e+15,1.89184624604143e+15,914316092922210,441882589309653,213558772777300,103211465066769,49881381048847.9,24107323481269.7,11650901262365.9,5630799301750.21,2721326021275.73,1315197881723.57,635625961228.733,307193592844.358,148464520395.3,71751866997.3497,34677176768.547,16759237619.3009,8099622626.57285
0.005,3.31761040425781e+15,1.60337796425378e+15,774901384730173,374504433417358,180995380074193,87473804540235.4,42275479504541.9,20431444324762.1,9874374509483.8,4772216315386.64,2306378853563.75,1114656810299.07,538705860412.433,260352784248.306,125826684368.998,60811158770.6157,29389608806.5097,14203792910.0775,6864594025.75247,3317610404.25781
0.006,1.59993079019686e+15,773235389556443,373699269572114,180606250004725,87285740692288.4,42184589558789.3,20387517848041.1,9853145149721.93,4761956313912.77,2301420266426.67,1112260359727.53,537547672569.188,259793040143.35,125556163947.928,60680418138.3014,29326422770.9775,14173255539.8996,6849835527.77856,3310477725.14441,1599930790.19686
0.007,863604663352289,417374109168685,201713995299829,97486966742766.3,47114770943775.4,22770240117755.4,11004698200464,5318493869937.85,2570390984768.11,1242252031523.8,600371740707.858,290155474005.097,140230116420.635,67772237000.7725,32753849353.6685,15829706897.0969,7650386913.07072,3697378624.89531,1786917295.97054,863604663.352289
0.008,506230463991015,244657651710838,118241336305127,57145212967817.9,27617882774179,13347530078466,6450768172646.42,3117611256359.91,1506719771297.35,728187154375.687,351927771772.178,170084236999.094,82200525209.7324,39726940391.2595,19199753150.2856,9279106757.31285,4484527563.43528,2167340886.70349,1047460730.86422,506230463.991015
0.009,316038081922862,152739000266522,73817693299729.1,35675576208987.6,17241757103888.7,8332820927349.32,4027194223239.01,1946314873809.33,940640400741.507,454604943636.588,219707397870.547,106183052680.648,51317528612.4163,24801403579.9718,11986345332.0667,5792917080.53087,2799676412.80364,1353064079.36548,653926430.389069,316038081.922862
0.01,207353242168141,100212375414030,48431941941756.9,23406819672306.9,11312352658308.8,5467181123172.81,2642250496993.06,1276981232479.9,617156121254.073,298267248032.847,144150480219.353,69666921475.6748,33669537142.7993,16272252417.6149,7864266075.87635,3800744932.22769,1836873511.20615,887748153.673969,429042489.612717,207353242.168141
