bval E=0.010000,doca E=0.010000,bval E=0.014384,doca E=0.014384,bval E=0.020691,doca E=0.020691,bval E=0.029764,doca E=0.029764,bval E=0.042813,doca E=0.042813,bval E=0.061585,doca E=0.061585,bval E=0.088587,doca E=0.088587,bval E=0.127427,doca E=0.127427,bval E=0.183298,doca E=0.183298,bval E=0.263665,doca E=0.263665,bval E=0.379269,doca E=0.379269,bval E=0.545559,doca E=0.545559,bval E=0.784760,doca E=0.784760,bval E=1.128838,doca E=1.128838,bval E=1.623777,doca E=1.623777,bval E=2.335721,doca E=2.335721,bval E=3.359818,doca E=3.359818,bval E=4.832930,doca E=4.832930,bval E=6.951928,doca E=6.951928,bval E=10.000000,doca E=10.000000
1439964.41535336,1440684.5776166,1001052.88830569,1001553.53992317,695924.756542853,696272.805940725,483801.877430214,484043.838864329,336335.579966664,336503.789812613,233818.072291027,233935.010564177,162548.639472846,162629.934117937,113002.643189986,113059.158641621,78558.6234947015,78597.9126295511,54613.3891311417,54640.7026546572,37966.8346988116,37985.8228635978,26394.2699762781,26407.4704116501,18349.1063478742,18358.2831954512,12756.1665493381,12762.5462276652,8867.99509194101,8872.43019835598,6164.96630445536,6168.04955848533,4285.84016353476,4287.98361952518,2979.48520725783,2980.97532242129,2071.31665240325,2072.35256973036,1439.96441535336,1440.6845776166
719982.027681096,720702.369939935,500526.319021211,501027.095770338,347962.291280818,348310.427669304,241900.878239862,242142.900149225,168167.747941378,168335.999829284,116909.006918249,117025.974418665,81274.2994178397,81355.6143815156,56501.3074696602,56557.8370466291,39279.3019275212,39318.600882201,27306.6877388961,27334.0080890868,18983.4126035507,19002.4055141923,13197.1316888547,13210.3354235112,9174.55088029843,9183.73002151426,6378.08168014796,6384.4629529963,4433.99643747093,4438.43265238555,3082.48238160676,3085.5664062577,2142.91954603727,2145.06353775784,1489.7422311932,1491.2327187924,1035.658067287,1036.69424352875,719.982027681096,720.702369939935
479987.818458947,480708.340713424,333684.073645642,334184.975526441,231974.764197633,232322.987576756,161267.184965183,161509.26734981,112111.785247629,112280.079177503,77939.3054707576,78056.3021984464,54182.8437023531,54264.1789846187,37667.5226182905,37724.0663205966,26186.1903740909,26225.4991486033,18204.4509074022,18231.7780842698,12655.6031291941,12674.6007856923,8798.0841266979,8811.29116063972,6116.36470504453,6125.54613989975,4252.05268174164,4258.43554911157,2955.99639331427,2960.4337167288,2054.98739815893,2058.07219343102,1428.61243543576,1430.7569628866,993.161073644619,994.651933679648,690.438423841711,691.474858998172,479.987818458947,480.708340713424
359990.653849294,360711.356099477,250262.909247279,250763.936259795,173980.971659147,174329.282028939,120950.318169411,121192.461029324,84083.7898867588,84252.1258586161,58454.4450045823,58571.4709595551,40637.109071743,40718.4646726059,28250.6254841575,28307.1833118061,19639.6313240965,19678.9499184453,13653.3302160951,13680.6642196421,9491.69681006271,9510.69921241933,6598.55924585713,6611.76957908552,4587.27085287072,4596.4545813662,3189.03765103101,3195.42211292312,2216.99600173577,2221.43443365063,1541.23964956116,1544.3252154547,1071.45870155815,1073.60376473947,744.870370724988,746.361603195986,517.82851581412,518.865209885384,359.990653849294,360.711356099477
287992.307084608,288713.189330586,200210.177239775,200711.329384072,139184.672938524,139533.070299028,96760.1819651919,97002.3853004215,67266.9814590313,67435.3594728931,46763.5209309281,46880.5761131995,32509.6628750798,32591.0387945501,22600.4834369166,22657.0553899147,15711.6932754747,15751.0216896646,10922.6559808614,10949.9968110914,7593.3517530206,7612.35890123798,5278.84343754217,5292.05707005878,3669.81392992851,3678.99995206539,2551.22820739836,2557.61426381345,1773.59547118833,1778.03501160408,1232.99079490328,1236.07713141865,857.166318370001,859.311917282066,595.895849656867,597.38745456402,414.26250195356,415.299454939757,287.992307084608,288.713189330586
239993.369242368,240714.431484254,166841.661427675,167342.93870383,115987.121126815,116335.605478086,80633.4110567362,80875.6748673202,56055.7664978671,56224.1865537596,38969.5650535286,39086.6494631169,27091.3608953859,27172.7571334764,18833.7189331188,18890.3050114752,13093.0657275371,13132.4039615744,9102.2049736631,9129.55263058021,6327.78732702215,6346.79922110326,4399.03216548946,4412.24909729634,3058.17547160165,3067.36378738136,2126.02155730438,2132.40920824344,1477.9948711562,1482.43552007353,1027.49138721518,1030.57849435286,714.304610526478,716.450745169623,496.579419514426,498.071396857967,345.218435176463,346.255647077754,239.993369242368,240.714431484254
205708.379355774,206429.621593704,143006.983441495,143508.385849602,99417.4246916108,99765.9960337134,69114.277460133,69356.6017461167,48047.7478033016,48216.2099012563,33402.4481454115,33519.5617823386,23221.1413253846,23302.5578821105,16143.1701684284,16199.7703721538,11222.6156085599,11261.963662452,7801.88152534071,7829.2360089501,5423.81183304766,5442.82847299606,3770.59491415734,3783.81514525697,2621.29042162593,2630.4810310502,1822.30221780359,1828.69146326782,1266.85137427545,1271.29313169519,880.705949223934,883.793826984508,612.260431451199,614.407101825827,425.639041329439,427.131391109648,295.901195304149,296.938666120727,205.708379355774,206.429621593704
179994.60694142,180716.02917555,125130.954096486,125632.481636656,86990.1378667024,87338.7961997131,60474.9171834243,60717.3019448607,42041.7267753512,42210.2309154049,29227.1055930894,29344.2484573809,20318.4732614366,20399.9101368157,14125.2562406771,14181.8705697838,9819.77638268088,9859.13425643629,6826.63780131429,6853.99911162192,4745.82942158711,4764.85080740696,3299.26642577488,3312.48995617015,2293.62625186919,2302.81915494001,1594.5124474232,1600.90328741399,1108.49356686406,1112.93643278718,770.616742293063,773.705390677202,535.727207855957,537.874413962536,372.43369561778,373.926417834982,258.913222247267,259.95095197936,179.99460694142,180.71602917555
159994.979508519,160716.58173903,111227.357178899,111729.009851256,77324.4574486388,77673.2027726446,53755.405786632,53997.8510235815,37370.3708584681,37538.9170406629,25979.6126112909,26096.7847029759,18060.8395348531,18142.2967289056,12555.7655375488,12612.3939920509,8728.67775219839,8768.04544582695,6068.11389348366,6095.48203049636,4218.50906513481,4237.53519683084,2932.67711269146,2945.90394238566,2038.77600225791,2047.97119897759,1417.34238978938,1423.73482430834,985.326219098667,989.770193526283,684.991689402267,688.081108410742,476.201287913953,478.349029753019,331.051704888256,332.544799542824,230.144760400616,231.182749048482,159.994979508519,160.71658173903
143995.253562594,144717.035789689,100104.462960477,100606.240765162,69591.9015153468,69940.7338304456,48379.7886057674,48622.294318298,33633.2805193227,33801.8687437059,23381.6143288522,23498.8156479638,16254.7298444201,16336.207357169,11300.1710916533,11356.8136715667,7855.79753849127,7895.17505200403,5461.29385698854,5488.668820714,3796.6521471872,3815.68302476476,2639.40522231661,2652.63535131346,1834.89549674794,1844.09298711905,1275.60613107781,1282.00016012672,886.792193085225,891.237276018578,616.491544339349,619.581733973028,428.580480529095,430.728758101251,297.946062646144,299.439529738497,207.129956401067,208.168203964999,143.995253562594,144.717035789689
