theta,E=0.010000,E=0.014384,E=0.020691,E=0.029764,E=0.042813,E=0.061585,E=0.088587,E=0.127427,E=0.183298,E=0.263665,E=0.379269,E=0.545559,E=0.784760,E=1.128838,E=1.623777,E=2.335721,E=3.359818,E=4.832930,E=6.951928,E=10.000000
0.001,1439964.41535336,1001052.88830569,695924.756542853,483801.877430214,336335.579966664,233818.072291027,162548.639472846,113002.643189986,78558.6234947015,54613.3891311417,37966.8346988116,26394.2699762781,18349.1063478742,12756.1665493381,8867.99509194101,6164.96630445536,4285.84016353476,2979.48520725783,2071.31665240325,1439.96441535336
0.002,719982.027681096,500526.319021211,347962.291280818,241900.878239862,168167.747941378,116909.006918249,81274.2994178397,56501.3074696602,39279.3019275212,27306.6877388961,18983.4126035507,13197.1316888547,9174.55088029843,6378.08168014796,4433.99643747093,3082.48238160676,2142.91954603727,1489.7422311932,1035.658067287,719.982027681096
0.003,479987.818458947,333684.073645642,231974.764197633,161267.184965183,112111.785247629,77939.3054707576,54182.8437023531,37667.5226182905,26186.1903740909,18204.4509074022,12655.6031291941,8798.0841266979,6116.36470504453,4252.05268174164,2955.99639331427,2054.98739815893,1428.61243543576,993.161073644619,690.438423841711,479.987818458947
0.004,359990.653849294,250262.909247279,173980.971659147,120950.318169411,84083.7898867588,58454.4450045823,40637.109071743,28250.6254841575,19639.6313240965,13653.3302160951,9491.69681006271,6598.55924585713,4587.27085287072,3189.03765103101,2216.99600173577,1541.23964956116,1071.45870155815,744.870370724988,517.82851581412,359.990653849294
0.005,287992.307084608,200210.177239775,139184.672938524,96760.1819651919,67266.9814590313,46763.5209309281,32509.6628750798,22600.4834369166,15711.6932754747,10922.6559808614,7593.3517530206,5278.84343754217,3669.81392992851,2551.22820739836,1773.59547118833,1232.99079490328,857.166318370001,595.895849656867,414.26250195356,287.992307084608
0.006,239993.369242368,166841.661427675,115987.121126815,80633.4110567362,56055.7664978671,38969.5650535286,27091.3608953859,18833.7189331188,13093.0657275371,9102.2049736631,6327.78732702215,4399.03216548946,3058.17547160165,2126.02155730438,1477.9948711562,1027.49138721518,714.304610526478,496.579419514426,345.218435176463,239.993369242368
0.007,205708.379355774,143006.983441495,99417.4246916108,69114.277460133,48047.7478033016,33402.4481454115,23221.1413253846,16143.1701684284,11222.6156085599,7801.88152534071,5423.81183304766,3770.59491415734,2621.29042162593,1822.30221780359,1266.85137427545,880.705949223934,612.260431451199,425.639041329439,295.901195304149,205.708379355774
0.008,179994.60694142,125130.954096486,86990.1378667024,60474.9171834243,42041.7267753512,29227.1055930894,20318.4732614366,14125.2562406771,9819.77638268088,6826.63780131429,4745.82942158711,3299.26642577488,2293.62625186919,1594.5124474232,1108.49356686406,770.616742293063,535.727207855957,372.43369561778,258.913222247267,179.99460694142
0.009,159994.979508519,111227.357178899,77324.4574486388,53755.405786632,37370.3708584681,25979.6126112909,18060.8395348531,12555.7655375488,8728.67775219839,6068.11389348366,4218.50906513481,2932.67711269146,2038.77600225791,1417.34238978938,985.326219098667,684.991689402267,476.201287913953,331.051704888256,230.144760400616,159.994979508519
0.01,143995.253562594,100104.462960477,69591.9015153468,48379.7886057674,33633.2805193227,23381.6143288522,16254.7298444201,11300.1710916533,7855.79753849127,5461.29385698854,3796.6521471872,2639.40522231661,1834.89549674794,1275.60613107781,886.792193085225,616.491544339349,428.580480529095,297.946062646144,207.129956401067,143.995253562594
0.011,130904.546879884,91003.8979777831,63265.2542982325,43981.5490364727,30575.6560548859,21255.9758277595,14777.0012711828,10272.8648328329,7141.62162789125,4964.80390873586,3451.49591178736,2399.45509391088,1668.08389603839,1159.63990794569,806.173310163853,560.445877696529,389.617936822037,270.859582940244,188.299630835716,130.904546879884
0.012,119995.604644542,83420.0799218564,57993.038618231,40316.3426758413,28027.6309964708,19484.6071626694,13545.5585358375,9416.77471431567,6546.47394461926,4551.06152666341,3163.86518829725,2199.49628698121,1529.07397392863,1063.00121149778,738.990784561275,513.741069868603,357.149090873205,248.287475136417,172.607664095952,119.995604644542
0.013,110764.942753288,77002.9902711056,53531.9241206034,37215.0080141673,25871.6054811393,17985.7537560359,12503.5664450197,8692.38931910515,6042.88643621268,4200.97111857414,2920.48485858273,2030.30003503236,1411.44995843354,981.229843268117,682.143918434432,474.221538051951,329.675397045959,229.187961103328,159.329819529656,110.764942753288
0.014,102852.929703773,71502.6157958203,49708.1034091062,34556.7154016599,24023.5796067921,16701.01948104,11610.4284320401,8071.48620648942,5611.23906519799,3900.89297575575,2711.87269540505,1885.27436199621,1310.62915527801,911.139947209556,633.417927609686,440.347580243974,306.126465599831,212.8169136043,147.948785242452,102.852929703773
0.015,95995.8357276078,66735.6134608775,46394.1177264923,32252.8564284711,22421.9534452222,15587.5805113471,10836.3736813263,7533.36891994613,5237.14380409448,3640.82464515243,2531.07506545569,1759.58515208944,1223.25092199358,850.395228887495,591.188637026354,410.990081642752,285.717344058469,198.628639332433,138.085199178458,95.9958357276079
0.016,89995.8634984946,62564.4759899325,43494.373004825,30236.9747872141,21020.5270502738,14613.3189772059,10159.0740811984,7062.51511708327,4909.80963229142,3413.26428697219,2372.8767437532,1649.60681847449,1146.79477672885,797.243467475953,554.237915388902,385.302206146833,267.8593180646,186.213868307544,129.454539795761,89.9958634984946
0.017,84701.7562374983,58884.0507598966,40935.7678980339,28458.2509487098,19783.9710513563,13753.6741546883,9561.45519331281,6647.05477136559,4620.98459285104,3212.47520019754,2233.2896170764,1552.56685356965,1079.33329218569,750.344729402098,521.63425053014,362.636373208034,252.102194286183,175.25962936831,121.839231797598,84.7017562374983
0.018,79995.8697832223,55612.5523972543,38661.4458036183,26877.1586124846,18684.807049121,12989.5432585166,9030.23689895756,6277.75563993208,4364.25049704384,3033.99550625921,2109.2118195865,1466.3088625891,1019.36735824325,708.65684410926,492.653132986682,342.488909066647,238.095822353845,165.522500500365,115.07004995315,79.9958697832222
0.019,75785.32716614,52685.4135018601,36626.5199301291,25462.4928044796,17701.3415703972,12305.8451424185,8554.93489388599,5947.32910999758,4134.54035376742,2874.30266944454,1998.19450983177,1389.1304285966,965.713466911404,671.357045368465,466.722581603208,324.462176543944,225.563767765442,156.810306429204,109.013395395978,75.78532716614
0.02,71995.8268106281,50050.980153596,34795.080844406,24189.2895454469,16816.2198366478,11690.5148893758,8127.16173470055,5649.94429133375,3927.80057013976,2730.57866118327,1898.27861465078,1319.66961804314,917.424811797985,637.787120196513,443.385011455448,308.238065896933,214.284882919252,148.969306935216,103.562389032926,71.9958268106282
0.021,68567.219822132,47667.4372742694,33138.0590053178,23037.3398998039,16015.3927414376,11133.7856618018,7740.12758626962,5380.88093946985,3740.74966620858,2600.54222025182,1807.87821767466,1256.82391329375,873.73493058551,607.414229511747,422.26999665231,293.559059714609,204.080143566254,141.875045650142,98.6305096933415,68.567219822132
0.022,65450.2934687411,45500.5725271761,31631.6702428474,21990.1092838916,15287.3655613188,10627.6664107617,7388.27712893979,5136.27703620237,3570.70279474012,2482.32686019442,1725.69575096522,1199.69125446525,834.01671774146,579.802414065517,403.074461464706,280.214461933414,194.803075320881,135.425694636311,94.1469673285054,65.4502934687411
0.023,62604.3937545273,43522.1235472108,30256.2667643708,21033.9386938171,14622.6426551821,10165.5558349613,7067.02118560587,4912.9422186674,3415.44203845418,2374.39070089535,1650.65931057344,1147.52646165407,797.752129565037,554.591533608921,385.548038985987,268.030219283444,186.332677603742,129.537135162597,90.0532832025167,62.6043937545273
0.024,59995.6423495484,41708.5383634514,28995.4754093669,20157.4456263354,14013.3109887693,9741.95284998825,6772.53544201329,4708.21785114485,3273.11913295049,2275.44884225813,1581.87564320842,1099.70855160724,764.509462972212,531.481471267857,369.482090127265,256.861287373103,178.568116598675,124.139268286394,86.3007250354545,59.9956423495484
0.025,57595.5814566511,40040.0333203217,27835.5427229972,19351.0687787204,13452.7236133029,9352.23654493594,6501.60747418798,4519.87067962967,3142.18153613272,2184.42196820161,1518.59441610577,1055.7158983922,733.926087372378,510.22012886806,354.701358053862,246.585828913442,171.424691900098,119.173210895906,82.8483577121828,57.5955814566511
0.026,55380.1314013193,38499.8684015639,26764.8311665513,18606.7178178951,12935.2561875093,8992.49691826771,6251.51907722863,4346.01102765593,3021.31555853464,2100.39681127247,1460.18073231094,1015.10712621984,705.695161496538,490.594192569753,341.057548521039,237.100750813806,164.830733934048,114.589138819611,79.6615438275838,55.3801314013193
0.027,53328.7798682225,37073.7835933272,25773.4272811269,17917.5009786456,12456.1176058588,8659.40322793354,6019.95474325612,4185.02917082659,2909.40213135159,2022.59540289927,1406.09375367742,977.506248306809,679.555302041448,472.42195058348,328.424336801787,228.318233033995,158.725190841223,110.344609244727,76.710777443962,53.3287798682225
0.028,51423.9448727901,35749.5560265957,24852.8338162354,17277.5110336449,12011.2012064683,8350.10055217597,5804.92975123101,4035.54534537259,2805.48205275091,1950.35091287787,1355.86990465102,942.590990267348,655.282466175733,455.547649946836,316.693444558657,220.163001253836,153.055732456498,106.403242617438,73.9707677575758,51.4239448727901
0.029,49650.46953177,34516.6487453199,23995.7255559376,16681.6555455416,11596.966763576,8062.12775154864,5604.73313473981,3896.37009976879,2708.72842460091,1883.08848758394,1309.10955113326,910.083529355079,632.683513527501,439.837020864626,305.771528397288,212.570163817997,147.777246568555,102.733677253415,71.4197123514045,49.65046953177
0.03,47995.2178796752,33365.9297209227,23195.7539797522,16125.5210686307,11210.3460815216,7793.35183853113,5417.88205622399,3766.47257602659,2618.42460185402,1820.30992054301,1265.46634357205,879.743085856447,611.59105577442,425.173696181005,295.577690709221,205.48348129185,142.850635927581,99.3087330262375,69.0387157973609,47.9952178796752
